VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee
2,2025-01-01T00:03:01.000,2025-01-01T00:17:12.000,N,1,75,235,1,5.93,24.7,1.0,0.5,6.8,0.0,,1.0,34.0,1,1,0.0,0.0
2,2025-01-01T00:19:59.000,2025-01-01T00:25:52.000,N,1,166,75,1,1.32,8.6,1.0,0.5,0.0,0.0,,1.0,11.1,2,1,0.0,0.0
2,2025-01-01T00:05:29.000,2025-01-01T00:07:21.000,N,5,171,73,1,0.41,25.55,0.0,0.0,0.0,0.0,,1.0,26.55,2,2,0.0,0.0
2,2025-01-01T00:52:24.000,2025-01-01T01:07:52.000,N,1,74,223,1,4.12,21.2,1.0,0.5,6.13,6.94,,1.0,36.77,1,1,0.0,0.0
2,2025-01-01T00:25:05.000,2025-01-01T01:01:10.000,N,1,66,158,1,4.71,33.8,1.0,0.5,7.81,0.0,,1.0,46.86,1,1,2.75,0.0
2,2025-01-01T01:03:45.000,2025-01-01T01:42:09.000,N,1,260,260,1,4.26,31.0,1.0,0.5,0.0,0.0,,1.0,33.5,2,1,0.0,0.0
2,2025-01-01T00:28:12.000,2025-01-01T00:37:53.000,N,1,7,202,1,2.0,11.4,1.0,0.5,22.0,0.0,,1.0,35.9,1,1,0.0,0.0
2,2025-01-01T00:25:38.000,2025-01-01T00:36:47.000,N,1,166,244,1,2.09,13.5,1.0,0.5,0.0,0.0,,1.0,16.0,2,1,0.0,0.0
2,2025-01-01T00:52:04.000,2025-01-01T00:58:36.000,N,1,166,151,1,0.95,7.9,1.0,0.5,2.08,0.0,,1.0,12.48,1,1,0.0,0.0
2,2024-12-31T22:42:13.000,2024-12-31T22:42:31.000,N,3,74,74,1,0.06,23.0,1.0,0.0,0.0,0.0,,1.0,25.0,2,1,0.0,0.0
